model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 A3,2019,17300,Manual,1998,Petrol,145,49.6,1.0
 A3,2019,15700,Manual,2029,Petrol,145,49.6,1.0
 A3,2019,16000,Manual,5704,Petrol,145,49.6,1.0
 A3,2019,25499,Semi-Auto,4000,Petrol,145,44.1,1.5
 Q2,2019,25499,Semi-Auto,7897,Diesel,145,47.9,2.0
 A4,2019,25499,Semi-Auto,9000,Petrol,145,38.7,2.0
 A4,2019,25000,Manual,5000,Petrol,145,38.7,2.0
 Q2,2019,31000,Semi-Auto,4264,Petrol,145,33.2,2.0
 Q3,2019,28000,Manual,4000,Diesel,145,42.8,2.0
 Q3,2019,28000,Manual,4000,Petrol,145,42.2,1.5
 Q2,2019,21499,Manual,2721,Diesel,145,49.6,1.6
 Q2,2019,26000,Semi-Auto,4000,Petrol,145,42.2,1.5
 A3,2019,18750,Manual,2752,Petrol,145,44.8,1.5
 TT,2019,29485,Automatic,3000,Petrol,145,40.9,2.0
 A3,2019,17985,Manual,8449,Diesel,145,51.4,1.6
 A6,2019,29985,Automatic,1881,Diesel,145,47.9,2.0
 A6,2019,27985,Semi-Auto,688,Diesel,145,47.9,2.0
 A6,2019,30985,Automatic,1863,Diesel,145,47.9,2.0
 Q7,2020,62985,Semi-Auto,10,Diesel,145,33.2,3.0
 A4,2019,28985,Semi-Auto,1024,Petrol,145,38.7,2.0
 A4,2019,24985,Semi-Auto,448,Petrol,145,39.8,2.0
 A4,2019,26985,Semi-Auto,476,Petrol,145,39.2,2.0
 A7,2019,39985,Automatic,5201,Diesel,145,38.7,3.0
 A3,2019,21985,Semi-Auto,2028,Petrol,145,42.2,1.5
 A6,2019,45485,Automatic,3241,Diesel,145,39.2,3.0
 Q5,2019,33985,Automatic,355,Diesel,145,39.2,2.0
 A5,2019,28985,Automatic,18,Petrol,145,39.8,2.0
 A3,2019,29985,Automatic,3122,Petrol,145,41.5,1.5
 Q2,2019,28985,Manual,824,Petrol,145,40.9,1.5
 A6,2019,31985,Semi-Auto,2811,Diesel,145,47.9,2.0
 A6,2019,31985,Semi-Auto,27,Diesel,145,50.4,2.0
 A4,2019,29485,Semi-Auto,4254,Petrol,145,38.2,2.0
 A1,2019,17985,Semi-Auto,2252,Petrol,145,48.7,1.0
 Q2,2019,20985,Automatic,3422,Diesel,145,47.9,1.6
 Q2,2019,23685,Automatic,37,Diesel,145,47.9,1.6
 A4,2019,27985,Semi-Auto,7299,Petrol,145,38.2,2.0
 Q2,2019,27985,Semi-Auto,1414,Petrol,145,40.9,1.5
 Q5,2019,36985,Automatic,5135,Diesel,145,38.2,2.0
 Q5,2019,37985,Automatic,6024,Diesel,145,38.2,2.0
 Q5,2020,37985,Semi-Auto,10,Petrol,145,32.1,2.0
 Q7,2019,49985,Automatic,10,Diesel,145,33.2,3.0
 Q7,2019,59995,Automatic,10,Diesel,145,33.2,3.0
 Q5,2020,47895,Semi-Auto,10,Petrol,145,30.7,2.0
 A4,2020,31985,Semi-Auto,10,Petrol,145,42.2,2.0
 Q3,2019,34985,Automatic,10,Diesel,145,47.1,2.0
 A5,2019,29985,Automatic,10,Diesel,145,51.4,2.0
 Q3,2019,34485,Automatic,10,Diesel,145,47.1,2.0
 A1,2019,19685,Manual,10,Petrol,145,49.6,1.0
 A4,2019,34985,Automatic,10,Diesel,145,53.3,2.0
 A7,2019,43885,Semi-Auto,10,Diesel,145,38.2,3.0
 A6,2019,35895,Automatic,2000,Diesel,145,47.9,2.0
 Q2,2019,26985,Automatic,10,Petrol,145,43.5,1.5
 A6,2019,46985,Automatic,3510,Diesel,145,36.2,3.0
 A3,2019,23985,Automatic,10,Petrol,145,44.8,1.5
 A5,2019,28985,Automatic,10,Petrol,145,39.8,2.0
 A5,2019,27985,Automatic,1010,Petrol,145,39.8,2.0
 A6,2019,28985,Semi-Auto,500,Diesel,145,47.9,2.0
 A4,2019,29985,Automatic,10,Petrol,145,42.8,2.0
 A3,2019,21995,Manual,10,Diesel,145,54.3,1.6
 A5,2019,31985,Automatic,10,Petrol,145,39.8,2.0
 A5,2019,32485,Automatic,10,Diesel,145,51.4,2.0
 A3,2019,21285,Manual,10,Diesel,145,51.4,1.6
 Q7,2019,56985,Automatic,1510,Diesel,145,33.2,3.0
 RS3,2019,43785,Semi-Auto,10,Petrol,145,30.1,2.5
 A5,2019,29485,Automatic,10,Petrol,145,40.4,2.0
 A5,2019,27995,Automatic,10,Petrol,145,40.4,2.0
 Q3,2019,31985,Manual,10,Diesel,145,42.8,2.0
 A4,2019,30995,Automatic,10,Petrol,145,38.7,2.0
 A4,2019,32485,Automatic,10,Diesel,145,50.4,2.0
 A1,2019,20485,Manual,10,Petrol,145,48.7,1.0
 Q3,2019,34485,Automatic,10,Diesel,145,47.1,2.0
 Q5,2019,31998,Semi-Auto,100,Petrol,145,33.2,2.0
 Q3,2019,35985,Automatic,650,Diesel,145,47.1,2.0
 Q5,2019,37985,Automatic,10,Diesel,145,38.2,2.0
 Q5,2019,31998,Semi-Auto,10,Petrol,145,33.2,2.0
 A4,2019,18998,Manual,2928,Petrol,145,41.5,2.0
 A3,2019,23485,Manual,10,Diesel,145,56.5,2.0
 A6,2019,33985,Automatic,5429,Diesel,145,47.9,2.0
 Q2,2019,30985,Automatic,2710,Petrol,145,40.9,1.5
 Q7,2019,52985,Automatic,6423,Diesel,145,33.2,3.0
 Q7,2020,82995,Semi-Auto,826,Diesel,145,29.4,4.0
 A4,2019,25990,Semi-Auto,5987,Petrol,145,38.2,2.0
 A6,2019,30995,Semi-Auto,2977,Diesel,145,47.9,2.0
 Q5,2019,34985,Automatic,7573,Diesel,145,39.2,2.0
 Q3,2019,31995,Manual,3055,Diesel,145,42.8,2.0
 A4,2019,29985,Automatic,22,Petrol,145,38.7,2.0
 A4,2019,28485,Automatic,2250,Diesel,145,51.4,2.0
 Q5,2019,32895,Automatic,10,Diesel,145,39.2,2.0
 Q5,2019,35998,Semi-Auto,28,Petrol,145,32.1,2.0
 A3,2019,24985,Automatic,2257,Diesel,145,52.3,1.6
 A3,2019,24485,Manual,4039,Diesel,145,51.4,1.6
 A4,2019,27990,Semi-Auto,26,Diesel,145,47.9,2.0
 A3,2020,35995,Semi-Auto,314,Petrol,150,34.9,2.0
 A6,2019,31985,Semi-Auto,3278,Diesel,145,47.9,2.0
 A7,2019,32985,Automatic,1285,Diesel,145,39.2,3.0
 A6,2019,30985,Automatic,4445,Diesel,145,47.9,2.0
 A4,2020,34798,Semi-Auto,6998,Petrol,145,38.2,2.0
 A4,2020,40780,Semi-Auto,6746,Diesel,145,45.6,2.0
 A3,2019,20985,Semi-Auto,3409,Petrol,145,43.5,1.5
 A4,2020,31985,Manual,7456,Petrol,145,40.9,2.0
 A6,2019,29490,Semi-Auto,20,Diesel,145,55.4,3.0
 A4,2019,20495,Semi-Auto,4781,Petrol,150,40.9,2.0
 TT,2019,24995,Semi-Auto,12320,Petrol,150,40.9,2.0
 Q8,2019,49995,Semi-Auto,16385,Diesel,150,33.6,3.0
 A5,2020,37331,Semi-Auto,7532,Petrol,145,39.2,2.0
 A5,2020,39454,Semi-Auto,7925,Diesel,145,45.6,2.0
 A5,2020,37507,Semi-Auto,7639,Petrol,145,39.8,2.0
 Q3,2020,33462,Semi-Auto,7914,Diesel,145,48.7,2.0
 A4,2019,25990,Manual,4598,Petrol,145,38.2,2.0
 A3,2019,30995,Semi-Auto,4549,Petrol,150,34.5,2.0
 A1,2019,18995,Manual,7564,Petrol,145,51.4,1.0
 A1,2019,23995,Semi-Auto,5356,Petrol,145,44.1,1.5
 A4,2020,31265,Semi-Auto,7963,Petrol,145,41.5,2.0
 A5,2020,36312,Semi-Auto,7423,Diesel,145,51.4,2.0
 A6,2019,33490,Semi-Auto,4582,Diesel,145,39.2,3.0
 Q2,2019,23995,Manual,6484,Diesel,145,49.6,1.6
 A3,2019,20995,Manual,3325,Diesel,145,49.6,1.6
 A6,2019,29995,Semi-Auto,8598,Diesel,145,47.9,2.0
 A3,2019,19990,Semi-Auto,6000,Diesel,145,52.3,1.6
