param_combination,mean_test_score,std_test_score,mean_fit_time,mean_score_time
"{'learning_rate': 0.1, 'max_depth': 10}",-1935.3495018434219,167.21785272410787,76.05269045829773,0.10138206481933594
"{'learning_rate': 0.2, 'max_depth': 10}",-1954.9763148196114,178.88481950600573,51.746972751617434,0.03572850227355957
"{'learning_rate': 0.2, 'max_depth': 5}",-2079.7162669069576,125.99695406255175,39.68156538009644,0.030628728866577148
"{'learning_rate': 0.1, 'max_depth': 5}",-2230.6324353236487,109.44619154012051,42.597470903396605,0.05606961250305176
"{'learning_rate': 0.1, 'max_depth': 20}",-2312.5075149892227,161.79233446528613,92.25731801986694,0.36449532508850097
"{'learning_rate': 0.2, 'max_depth': 20}",-2327.099861413103,152.39924632302422,50.15563015937805,0.1158907413482666
"{'learning_rate': 0.2, 'max_depth': 3}",-2364.916069966629,111.89017092727005,29.81512475013733,0.03794441223144531
"{'learning_rate': 0.1, 'max_depth': 3}",-2614.0822774250946,82.8433381537089,34.108322048187254,0.03383655548095703
"{'learning_rate': 0.01, 'max_depth': 20}",-4022.646272609845,87.77917883531902,64.26224784851074,1.4268959522247315
"{'learning_rate': 0.01, 'max_depth': 10}",-4132.949702163742,117.65944329751102,43.2030113697052,0.11121630668640137
"{'learning_rate': 0.01, 'max_depth': 5}",-4829.67944596151,139.23345190606452,33.42267823219299,0.08199419975280761
"{'learning_rate': 0.01, 'max_depth': 3}",-5721.198871460027,231.9666503028819,25.406979942321776,0.05166192054748535
