param_combination,mean_test_score,std_test_score,mean_fit_time,mean_score_time
"{'learning_rate': 0.1, 'max_depth': 10}",-1917.8059727238185,590.5547174818023,46.10379257202148,0.08929738998413086
"{'learning_rate': 0.2, 'max_depth': 10}",-1935.701838581562,597.6270640084598,47.214345932006836,0.03620567321777344
"{'learning_rate': 0.2, 'max_depth': 5}",-1996.3799725459533,503.02389670234305,35.75505595207214,0.028526496887207032
"{'learning_rate': 0.1, 'max_depth': 5}",-2096.005055440909,464.61007777861823,33.137430095672606,0.05771965980529785
"{'learning_rate': 0.2, 'max_depth': 3}",-2158.544442941741,435.2762560335493,23.27146577835083,0.032658720016479494
"{'learning_rate': 0.2, 'max_depth': 20}",-2207.380022791388,613.3272147627565,60.850591325759886,0.13436455726623536
"{'learning_rate': 0.1, 'max_depth': 20}",-2211.1207719406534,615.3797116117993,49.20966901779175,0.28997483253479006
"{'learning_rate': 0.1, 'max_depth': 3}",-2347.388104370859,428.41717410965697,16.23845729827881,0.02154698371887207
"{'learning_rate': 0.01, 'max_depth': 20}",-3155.5471004653577,819.7638226205346,49.56236486434936,0.220505428314209
"{'learning_rate': 0.01, 'max_depth': 10}",-3280.248954156439,836.3556225822524,35.87650055885315,0.09340901374816894
"{'learning_rate': 0.01, 'max_depth': 5}",-3768.9186041053326,996.3157978173487,26.91329140663147,0.03800101280212402
"{'learning_rate': 0.01, 'max_depth': 3}",-4342.132005509024,1208.9788596647172,18.74815502166748,0.023979759216308592
