param_combination,mean_test_score,std_test_score,mean_fit_time,mean_score_time
"{'alpha': 0.01, 'hidden_layer_sizes': (50, 50, 50)}",-1978.6273788503136,101.25324945955525,213.92076735496522,0.038318300247192384
"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50)}",-1994.1474816121313,109.23552225207352,212.12232832908632,0.05957117080688477
"{'alpha': 0.1, 'hidden_layer_sizes': (50, 50, 50)}",-1995.5259320677706,98.96007769672156,64.6669771194458,0.011917829513549805
"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 50)}",-1996.6159337001554,100.33702526578959,496.43651881217954,0.1220980167388916
"{'alpha': 0.001, 'hidden_layer_sizes': (50, 50)}",-1997.2012795345386,103.79971598411554,532.6898862838746,0.11704120635986329
"{'alpha': 0.001, 'hidden_layer_sizes': (50, 50, 50)}",-1999.6291770445848,106.59478928125127,209.0178614139557,0.07051010131835937
"{'alpha': 0.01, 'hidden_layer_sizes': (50, 50)}",-2001.5510035126194,108.1745353946777,530.5800111293793,0.0613400936126709
"{'alpha': 0.1, 'hidden_layer_sizes': (50, 50)}",-2003.72354256085,105.7182405591619,176.09901189804077,0.015060186386108398
"{'alpha': 0.0001, 'hidden_layer_sizes': (50,)}",-2462.9554730879345,141.42872690494764,314.258794927597,0.04352493286132812
"{'alpha': 0.001, 'hidden_layer_sizes': (50,)}",-2474.652649067805,156.56732219541308,322.5253890037537,0.02877697944641113
"{'alpha': 0.01, 'hidden_layer_sizes': (50,)}",-2484.7400573756863,152.14702705958902,355.94255075454714,0.0380861759185791
"{'alpha': 0.1, 'hidden_layer_sizes': (50,)}",-2488.5741502844626,156.82734222250593,161.92135605812072,0.007344579696655274
