param_combination,mean_test_score,std_test_score,mean_fit_time,mean_score_time
"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 50)}",-1908.0504224297779,511.11247570302265,327.4718342781067,0.062331533432006835
"{'alpha': 0.001, 'hidden_layer_sizes': (50, 50)}",-1914.2281419558553,542.7054842515798,375.4047933101654,0.0879300594329834
"{'alpha': 0.1, 'hidden_layer_sizes': (50, 50)}",-1921.2191151217207,543.7302759759255,237.96087884902954,0.01656651496887207
"{'alpha': 0.01, 'hidden_layer_sizes': (50, 50)}",-1922.2154611999201,523.6924813166249,419.2078544616699,0.0783015251159668
"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50)}",-1951.1698684279552,567.9757681384826,245.07064261436463,0.10193066596984864
"{'alpha': 0.001, 'hidden_layer_sizes': (50, 50, 50)}",-1982.8421484724458,602.1171190436729,282.33465948104856,0.07014617919921876
"{'alpha': 0.1, 'hidden_layer_sizes': (50, 50, 50)}",-1995.6410856821635,624.7553314485856,182.62326836585999,0.035239648818969724
"{'alpha': 0.01, 'hidden_layer_sizes': (50, 50, 50)}",-2001.8194190548834,625.8173363466492,199.35694036483764,0.05645442008972168
"{'alpha': 0.0001, 'hidden_layer_sizes': (50,)}",-2176.6753407264705,538.6969603018704,227.3250710964203,0.0351041316986084
"{'alpha': 0.1, 'hidden_layer_sizes': (50,)}",-2189.9629907046774,535.3075765183089,157.48447103500365,0.020160913467407227
"{'alpha': 0.01, 'hidden_layer_sizes': (50,)}",-2191.98177622575,534.0964685204708,277.0698101043701,0.038427305221557614
"{'alpha': 0.001, 'hidden_layer_sizes': (50,)}",-2196.285739592468,540.4240273593595,252.85472850799562,0.05331330299377442
